mol_i, mol_j, whole_dissimilarity
2, 85, 0.0030222076495152184
2, 86, 0.0030453200007533043
2, 87, 0.0032171402470447807
2, 88, 0.0036020952658211147
2, 89, 0.003639339880249226
2, 90, 0.003593298103568232
2, 91, 0.0035835438233244865
2, 92, 0.00360145559295022
2, 93, 0.0036049368074094756
2, 94, 0.0036046767967861104
2, 95, 0.003599217177661873
2, 96, 0.0035965445531203066
2, 97, 0.003696472887615543
2, 98, 0.004125865887495972
2, 99, 0.003094425504400644
2, 100, 0.003094338542736552
2, 101, 0.0030989822143170365
2, 102, 0.00311949502427733
2, 103, 0.0031378933632213446
2, 104, 0.003144669156013191
2, 105, 0.003148626872376714
2, 106, 0.003153863416203495
2, 107, 0.003162274815870836
2, 108, 0.003159980334979995
2, 109, 0.003940692967422166
3, 0, 0.00017879051615499186
3, 1, 9.037348798568434e-05
3, 2, 2.000588627593114e-05
3, 3, 1.1102230246251565e-16
3, 4, 4.1156074701675927e-05
3, 5, 0.0001535888641449601
3, 6, 0.0002294709315351362
3, 7, 0.0002532383553806028
3, 8, 0.0002629241389093817
3, 9, 0.00031446284202019115
3, 10, 0.0009748053657698819
3, 11, 0.0016617931546373255
3, 12, 0.0016824591679476253
3, 13, 0.0016691132659923946
3, 14, 0.0017251183961388694
3, 15, 0.0017525156932649555
3, 16, 0.0017603050444701118
3, 17, 0.0017629027039318679
3, 18, 0.0017607958528984557
3, 19, 0.0017636985331045407
3, 20, 0.0017770863894459588
3, 21, 0.0017954799642431185
3, 22, 0.002185588989870868
3, 23, 0.00221998618208219
3, 24, 0.0021789443670801045
3, 25, 0.0021822274008992393
3, 26, 0.002234163881349671
3, 27, 0.002260121324186959
3, 28, 0.0022743348512695993
3, 29, 0.0023047459710462403
3, 30, 0.0023109026449117387
3, 31, 0.0024427234880504134
3, 32, 0.0023355855069324694
3, 33, 0.0014912337340134973
3, 34, 0.0014390344210173378
3, 35, 0.001382093258396555
3, 36, 0.0013889222930694167
3, 37, 0.00146610686070614
3, 38, 0.0014778923612783768
3, 39, 0.0015343384911895575
3, 40, 0.0015714602284639945
3, 41, 0.0015820586191699348
3, 42, 0.0016578888191589591
3, 43, 0.0018254495290841444
3, 44, 0.002694717397111468
3, 45, 0.002670591062953309
3, 46, 0.0026739249583059843
3, 47, 0.002691143829357312
3, 48, 0.00271634972685042
3, 49, 0.0027446310758246772
3, 50, 0.0027614459107460076
3, 51, 0.0027677346347039222
3, 52, 0.002778388234734863
3, 53, 0.0028118668762470156
3, 54, 0.0030040277725026376
3, 55, 0.002942716079528118
3, 56, 0.0026645983482477265
3, 57, 0.0026274995613008167
3, 58, 0.0026346663389297253
3, 59, 0.002657716687219258
3, 60, 0.002661052199473879
3, 61, 0.0026635628396338706
3, 62, 0.0026942685983961656
3, 63, 0.0028060194963714924
3, 64, 0.004061913116883864
3, 65, 0.021107987567014597
3, 66, 0.0032168549773308186
3, 67, 0.0032191283286009398
3, 68, 0.0032176810949563484
3, 69, 0.0032457014501281467
3, 70, 0.0032650478083238177
3, 71, 0.0032686441742735273
3, 72, 0.0032688363683424093
3, 73, 0.003266973089821379
3, 74, 0.003258631892671282
3, 75, 0.0033065127379930948
3, 76, 0.0036078729952891964
3, 77, 0.0029509850607035704
3, 78, 0.0029426803905858723
3, 79, 0.0029551530361632272
3, 80, 0.0029785287166383956
3, 81, 0.002999371864730538
3, 82, 0.0030093800386744585
3, 83, 0.003015645597737371
3, 84, 0.003034956703723446
3, 85, 0.00307981733758822
3, 86, 0.00310274208818051
3, 87, 0.0032730410797395804
3, 88, 0.0036739315713113507
3, 89, 0.003717044715810469
3, 90, 0.003666047705237596
3, 91, 0.0036489497085471223
3, 92, 0.003666111475796985
3, 93, 0.0036699465179226287
3, 94, 0.003670090915010027
3, 95, 0.003664832345008362
3, 96, 0.0036617870310721168
3, 97, 0.0037602037402328925
3, 98, 0.004188822011553794
3, 99, 0.0031592395890837066
3, 100, 0.003160096940338031
3, 101, 0.003163867835386802
3, 102, 0.0031821147162888197
3, 103, 0.003199900814295553
3, 104, 0.0032065260809821527
3, 105, 0.003210607786709896
3, 106, 0.0032159271235518982
3, 107, 0.0032242325499833857
3, 108, 0.0032220537506810754
3, 109, 0.004001043346838262
4, 0, 0.00014417793996768236
4, 1, 0.0001380603760785526
4, 2, 3.952701817033777e-05
4, 3, 4.1156074701675927e-05
4, 4, 0.0
4, 5, 4.509984451606108e-05
4, 6, 0.00010114766052238267
4, 7, 0.0001223604433295833
4, 8, 0.0001320185136419738
4, 9, 0.00018252070867386117
4, 10, 0.0008443210766003739
4, 11, 0.0016115394506041048
4, 12, 0.0015960503753446043
4, 13, 0.0015891254565479906
4, 14, 0.00160709390221625
4, 15, 0.0016227565551610867
4, 16, 0.0016291393816307842
4, 17, 0.0016316847310068328
4, 18, 0.0016295943520547862
4, 19, 0.0016323445878394516
4, 20, 0.0016457199600987682
4, 21, 0.0016638602734887487
4, 22, 0.0021408984719273327
4, 23, 0.0021392226545214887
4, 24, 0.002094771206755608
4, 25, 0.00209160759652105
4, 26, 0.0021142184807257935
4, 27, 0.0021307170618994897
4, 28, 0.0021430469469662095
4, 29, 0.0021726776004529214
4, 30, 0.0021772419135713816
4, 31, 0.002308770336867383
4, 32, 0.002201615125447698
4, 33, 0.0014510486412592227
4, 34, 0.001449540113845793
4, 35, 0.001447613066323794
4, 36, 0.0013493190241776754
4, 37, 0.0013793736095224496
4, 38, 0.0013790281037658891
4, 39, 0.0014115979630477948
4, 40, 0.001440033550048403
4, 41, 0.0014484634578415534
4, 42, 0.0015234996041761928
4, 43, 0.0016915773053213234
4, 44, 0.002639405862777555
4, 45, 0.0025968434464088697
4, 46, 0.002576047486504418
4, 47, 0.0025841183992558747
4, 48, 0.0026012071424814653
4, 49, 0.0026226039870042017
4, 50, 0.002634603004839753
4, 51, 0.002638368715724315
4, 52, 0.0026477567965464965
4, 53, 0.0026808076301836348
4, 54, 0.0028719471338644054
4, 55, 0.002889819078273126
4, 56, 0.0026020964284394488
4, 57, 0.0025427817663922214
4, 58, 0.00252400855427104
4, 59, 0.0025371422905636765
4, 60, 0.0025369389597189596
4, 61, 0.0025390397579458934
4, 62, 0.002567412299850136
4, 63, 0.002678447056640554
4, 64, 0.003932051284975646
4, 65, 0.02098302265410934
4, 66, 0.0031493373685498316
4, 67, 0.003131621275830665
4, 68, 0.003109269928745717
4, 69, 0.0031338910925567953
4, 70, 0.0031456256137954997
4, 71, 0.0031436110883565904
4, 72, 0.0031400605274742865
