mol_i, mol_j, min_mean_dissimilarity
5, 35, 0.00032205972823829565
5, 36, 0.00028692892954937913
5, 37, 0.0003359376415307915
5, 38, 0.0003781877988330608
5, 39, 0.00022875123508150024
5, 40, 0.0007960744455049851
5, 41, 0.0008953013594418793
5, 42, 0.00047885990216943827
5, 43, 0.0007839011283351312
5, 44, 0.001890516699768331
5, 45, 0.0017909460995779141
5, 46, 0.0013794564239308126
5, 47, 0.001254175577328422
5, 48, 0.0011611307429684407
5, 49, 0.001134505520130996
5, 50, 0.001178388073999931
5, 51, 0.0012413409479774475
5, 52, 0.001319934205550103
5, 53, 0.0014128240790600968
5, 54, 0.0016699102516479051
5, 55, 0.002077102016960809
5, 56, 0.001556083617946686
5, 57, 0.0018121192120345941
5, 58, 0.0012230077504321642
5, 59, 0.0011109096246790292
5, 60, 0.0011126708227471287
5, 61, 0.0011129948966593854
5, 62, 0.0011490317041260916
5, 63, 0.0012477505842633388
5, 64, 0.002208742194269502
5, 65, 0.00826536528983372
5, 66, 0.0022131857731118943
5, 67, 0.0020547496108662237
5, 68, 0.0016066925889362295
5, 69, 0.0014931269684429296
5, 70, 0.0014580721847104378
5, 71, 0.0014644906435760825
5, 72, 0.0015071295996833428
5, 73, 0.001583985063540282
5, 74, 0.0017022629905714844
5, 75, 0.0017823920730311363
5, 76, 0.002197502086856453
5, 77, 0.0022609656452727686
5, 78, 0.0018922993068148574
5, 79, 0.001599615451769731
5, 80, 0.0014332087829520429
5, 81, 0.001372016395901983
5, 82, 0.0013826248715917918
5, 83, 0.0014334703614061076
5, 84, 0.0015849098048942617
5, 85, 0.0018125319916900387
5, 86, 0.0018251025850807069
5, 87, 0.0020591316045190933
5, 88, 0.002245506674367375
5, 89, 0.0019450167157063609
5, 90, 0.0018362776792369005
5, 91, 0.0016020945990359357
5, 92, 0.0015761695999802394
5, 93, 0.0015695511757816195
5, 94, 0.00158816132135957
5, 95, 0.001622812729606619
5, 96, 0.0017409716305701226
5, 97, 0.00187094312840975
5, 98, 0.0023779348318059747
5, 99, 0.002091998174114581
5, 100, 0.001864203754681593
5, 101, 0.0015167616245708357
5, 102, 0.001346662386314865
5, 103, 0.0012691342787047937
5, 104, 0.0012590884031109088
5, 105, 0.0012947483756279245
5, 106, 0.001404698178772976
5, 107, 0.0015527628945594001
5, 108, 0.0016016553330019544
5, 109, 0.002293064906905345
6, 0, 0.0006213115263368308
6, 1, 0.000633692570329245
6, 2, 0.0003520272594542121
6, 3, 0.00028024863755098903
6, 4, 0.00040494667033782355
6, 5, 0.00024052296827946012
6, 6, 4.530506513044361e-17
6, 7, 0.00031050090897691545
6, 8, 0.0005179902513145818
6, 9, 0.00025275519691428594
6, 10, 0.0014346048244583012
6, 11, 0.000588125330327884
6, 12, 0.000946434727950634
6, 13, 0.0008593258383708085
6, 14, 0.0003103438004301867
6, 15, 0.0004355229062340181
6, 16, 0.0010393302858366148
6, 17, 0.0013533489883186293
6, 18, 0.0013917523559120934
6, 19, 0.0010076118874971474
6, 20, 0.0003996544129466499
6, 21, 0.0003452340394969549
6, 22, 0.0014678069884385134
6, 23, 0.0017035339411508746
6, 24, 0.0012813700149360832
6, 25, 0.0012924433021283854
6, 26, 0.0009448458150831368
6, 27, 0.0010049162305061656
6, 28, 0.0011286854695219163
6, 29, 0.0009429086995940218
6, 30, 0.0009739890521734126
6, 31, 0.0014817523271615438
6, 32, 0.0010176107933968985
6, 33, 0.0007268461948533407
6, 34, 0.0007241059953202233
6, 35, 0.00034336164763978895
6, 36, 0.0004944877540488551
6, 37, 0.0005385134433818016
6, 38, 0.0005871958861401344
6, 39, 0.00033098286861117784
6, 40, 0.0003098293621847175
6, 41, 0.0008337723428352404
6, 42, 0.00041836620990726864
6, 43, 0.0007434512642921786
6, 44, 0.001888288677734594
6, 45, 0.0018604365979590527
6, 46, 0.0014228499240534819
6, 47, 0.001281550408343124
6, 48, 0.0011701879884786616
6, 49, 0.0011216589833610423
6, 50, 0.0011453186527110946
6, 51, 0.001192445475627762
6, 52, 0.001258290858627811
6, 53, 0.0013482440419223737
6, 54, 0.0016292210450206904
6, 55, 0.0020850182374014575
6, 56, 0.0015419034522703495
6, 57, 0.0018430580293658453
6, 58, 0.0012543174254545666
6, 59, 0.0011052602126569346
6, 60, 0.001096791700847372
6, 61, 0.0010969131485240838
6, 62, 0.0011221358811109544
6, 63, 0.0012125450917365311
6, 64, 0.002159292626297935
6, 65, 0.008230315747971046
6, 66, 0.002252715947435228
6, 67, 0.002107613744803451
6, 68, 0.0016481722014860848
6, 69, 0.001519948719687555
6, 70, 0.0014640196940225614
6, 71, 0.0014503301398979846
6, 72, 0.0014745626379951287
6, 73, 0.0015369946217871579
6, 74, 0.0016416975546047641
6, 75, 0.0017193705222212894
6, 76, 0.002171983184032632
6, 77, 0.002263402862715583
6, 78, 0.001959201873771054
6, 79, 0.0016466341145087602
6, 80, 0.0014590236255407189
6, 81, 0.001374105544064055
6, 82, 0.0013639789101554023
6, 83, 0.001395809338455116
6, 84, 0.001524878708256814
6, 85, 0.0017443147290683505
6, 86, 0.0017567501274379626
6, 87, 0.0020279365720967018
6, 88, 0.0022825403826920985
6, 89, 0.0019513555010211654
6, 90, 0.0018771787673896184
6, 91, 0.0016268072910010196
6, 92, 0.0015837160089543065
6, 93, 0.0015577656763809337
6, 94, 0.0015616103677921435
6, 95, 0.001583374208476512
6, 96, 0.0016841327487765211
6, 97, 0.0018178587097467294
6, 98, 0.002355829774328142
6, 99, 0.0020945906460600253
6, 100, 0.0019339441752280132
6, 101, 0.0015668020355967627
6, 102, 0.0013783553080680875
6, 103, 0.0012786622218939922
6, 104, 0.0012477471351545692
6, 105, 0.0012633419914789817
6, 106, 0.0013504216961692786
6, 107, 0.0014863844963225316
6, 108, 0.0015367540781695652
6, 109, 0.0022750092835139507
7, 0, 0.0006253616906151647
7, 1, 0.0006403985303720112
7, 2, 0.00039054857633856726
7, 3, 0.0003106820898194294
7, 4, 0.0004303634086051181
7, 5, 0.0007125937940871923
7, 6, 0.00031072009313679673
7, 7, 4.895602276000317e-17
7, 8, 0.00026163958446997045
7, 9, 0.00018530406680941698
7, 10, 0.0014384377847821892
7, 11, 0.0005888860444311678
7, 12, 0.0009478082534616044
7, 13, 0.0011148875692845986
7, 14, 0.000993202489635257
7, 15, 0.0002332086600394376
7, 16, 0.0002645878100551836
7, 17, 0.00033876495127858544
7, 18, 0.0004931734129470051
7, 19, 0.00041593345686313
7, 20, 0.0003283939894577333
7, 21, 0.0002786364780026379
7, 22, 0.0014705608073792905
7, 23, 0.0017324328014115319
7, 24, 0.0013079910281756637
7, 25, 0.0013466256246308511
7, 26, 0.0013100091244276442
7, 27, 0.0008900117192858299
7, 28, 0.0011128117622130496
7, 29, 0.0009142094005052809
7, 30, 0.0009228208601839402
7, 31, 0.0014312550554065914
7, 32, 0.0009637656327392271
7, 33, 0.0007283520636508754
7, 34, 0.0007271160036866415
7, 35, 0.00037045725092584356
7, 36, 0.0005257610998645568
7, 37, 0.0005718485222376413
7, 38, 0.000618802447014636
7, 39, 0.0007596928868374138
7, 40, 0.00020618199651635302
7, 41, 0.00026797837739839513
7, 42, 0.0003541748978058998
7, 43, 0.0007106490744268436
7, 44, 0.0018872450371638717
7, 45, 0.0019580741670838413
7, 46, 0.0014930279070153075
7, 47, 0.0013335722681574577
7, 48, 0.0011993638360807688
7, 49, 0.0011250678148778982
7, 50, 0.0011252004959029836
7, 51, 0.0011520241128009656
7, 52, 0.0011997866974417471
7, 53, 0.0012832678050844438
7, 54, 0.0015934199309269486
7, 55, 0.0020862357227783286
7, 56, 0.0015344575526763013
7, 57, 0.0018887985325651867
7, 58, 0.0013077311495926797
7, 59, 0.0011165318951780955
7, 60, 0.0010951417629783346
7, 61, 0.001095180377540668
7, 62, 0.001105979973739346
7, 63, 0.0011861248956051102
7, 64, 0.0021121476146301016
7, 65, 0.008204358754666859
7, 66, 0.002306898353542592
7, 67, 0.0021527832108437306
7, 68, 0.0017140344467582334
7, 69, 0.001567878235883636
7, 70, 0.0014899834762370598
7, 71, 0.0014500982201363726
7, 72, 0.0014492750819562132
7, 73, 0.001490120034324771
7, 74, 0.0015751652619713267
7, 75, 0.0016489591379321947
7, 76, 0.0021526883873977352
7, 77, 0.0022670996754109328
7, 78, 0.0020539678175768884
7, 79, 0.001719599588074128
7, 80, 0.001508251149828799
7, 81, 0.0013976258455585591
7, 82, 0.0013604280585975657
7, 83, 0.0013672230746278177
7, 84, 0.0014642532570755015
7, 85, 0.0016710757971115974
