mol_i, mol_j, min_max_dissimilarity
7, 8, 0.16979892351226222
7, 9, 0.07006774874228416
7, 10, 0.12757539741089907
7, 11, 0.1575421686134001
7, 12, 0.2956062428311268
7, 13, 0.3950962823629093
7, 14, 0.3738675208522161
7, 15, 0.07351347224844207
7, 16, 0.07972412884154156
7, 17, 0.10508553636473117
7, 18, 0.20204522603697161
7, 19, 0.1461787194375872
7, 20, 0.10195934098588555
7, 21, 0.08092723097365839
7, 22, 0.24108027880175475
7, 23, 0.2900981966654863
7, 24, 0.2748458617894509
7, 25, 0.3178484763893441
7, 26, 0.3123198257322246
7, 27, 0.07958467421235471
7, 28, 0.19686250963818952
7, 29, 0.07989389236277733
7, 30, 0.07834962563051451
7, 31, 0.10448986841260677
7, 32, 0.07958697711327889
7, 33, 0.21052154638582665
7, 34, 0.21663596828300824
7, 35, 0.1125398853473425
7, 36, 0.2233498656092816
7, 37, 0.24206423542437971
7, 38, 0.271070104733686
7, 39, 0.39252132981255516
7, 40, 0.0390236351914125
7, 41, 0.09143068082658767
7, 42, 0.0670969924925926
7, 43, 0.11714476474507163
7, 44, 0.23362506033815333
7, 45, 0.29314008032791783
7, 46, 0.12304417554636793
7, 47, 0.07593893819750253
7, 48, 0.0761749028671096
7, 49, 0.07628272835546246
7, 50, 0.07618241375728119
7, 51, 0.07621090406570497
7, 52, 0.0764458161868059
7, 53, 0.07691980792864928
7, 54, 0.11072939049701691
7, 55, 0.30387641107086794
7, 56, 0.2152619456965208
7, 57, 0.2722805779484523
7, 58, 0.0859468523959177
7, 59, 0.0642007278310206
7, 60, 0.06441161596573852
7, 61, 0.06454632027831286
7, 62, 0.06494730478946698
7, 63, 0.0658129404722747
7, 64, 0.09049712944689059
7, 65, 0.2444564031494184
7, 66, 0.30146525367392474
7, 67, 0.2830530000168042
7, 68, 0.1371643048159632
7, 69, 0.07173607071741905
7, 70, 0.07199807443077633
7, 71, 0.0732276357353242
7, 72, 0.07352871506181158
7, 73, 0.07245964597176235
7, 74, 0.07186436750841263
7, 75, 0.0721581727706988
7, 76, 0.12522959433895087
7, 77, 0.27615492636047634
7, 78, 0.2151298650501705
7, 79, 0.1117305551423009
7, 80, 0.07308063149558297
7, 81, 0.07328655495778591
